doi,year
10.1016/j.ejmech.2024.116780,2024.0
10.1016/j.ejmech.2024.116789,2024.0
10.1016/j.ejmech.2024.116827,2024.0
10.1016/j.ejmech.2024.116843,2024.0
10.1016/j.ejmech.2024.116883,2024.0
10.1016/j.ejmech.2024.117016,2025.0
10.1016/j.ejmech.2024.117052,2025.0
10.1016/j.ejmech.2024.117062,2025.0
10.1016/j.ejmech.2024.117079,2025.0
10.1016/j.ejps.2023.106624,2024.0
10.1016/j.immuni.2024.04.025,2024.0
10.1016/j.isci.2023.107535,2023.0
10.1016/j.isci.2024.109015,2024.0
10.1016/j.jare.2023.10.014,2024.0
10.1016/j.jare.2024.10.004,2025.0
10.1016/j.jbc.2022.102555,2022.0
10.1016/j.jbc.2023.104825,2023.0
